鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物),臺北市萬華區國興路1巷1~30號,27.05,住,,,1090319,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710702,101.75999999999999,3,2,1,有,有,13880000,136399,,0.0,0,,RPXPMLMLMHPFFBA58CA
中正區,房地(土地+建物),臺北市中正區信義路二段1~30號,13.56,商,,,1090307,土地3建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0761228,126.24000000000001,3,2,2,有,有,34000000,269328,,0.0,0,含增建或未登記建物。;,RPTQMLMLMHPFFBA28CA
萬華區,車位,臺北市萬華區西寧南路31~60號,2.62,商,,,1090310,土地0建物0車位1,防空避難室,十層,其他,見使用執照,預力混凝土造,0671215,31.12,0,0,0,有,有,1700000,,坡道平面,0.0,1700000,,RPWQMLMLMHPFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區康定路121~150號,217.0,商,,,1090106,土地2建物1車位0,全,二層,透天厝,,加強磚造,,146.36,4,2,2,有,無,204000000,1393823,,0.0,0,含增建或未登記建物。;一樓空地增建。,RPXQMLMLMHPFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區成都路61~90號,3.28,商,,,1090410,土地1建物1車位0,十層,十三層,套房(1房1廳1衛),見使用執照,見使用執照,0911224,36.010000000000005,1,1,1,有,有,6500000,180505,,0.0,0,,RPSRMLMLMHPFFBA28CA
文山區,車位,臺北市文山區福興路106巷1~30號,0.59,住,,,1090408,土地0建物0車位1,地下二層，地下三層,十四層,其他,停車空間,鋼筋混凝土造,1010827,35.33,0,0,0,有,有,1700000,,坡道平面,35.33,1700000,單獨車位交易。;,RPOPMLTKNHPFFAA28CA
文山區,房地(土地+建物),臺北市文山區辛亥路四段166巷31~60號,26.44,住,,,1090315,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071026,103.39000000000001,2,2,1,有,有,21850000,211336,,0.0,0,,RPPPMLTKNHPFFAA38CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.61,商,,,1090316,土地1建物1車位0,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,64.17,2,1,1,有,有,11080000,172666,,0.0,0,,RPOPMLNLMHPFFBA77CA
中正區,房地(土地+建物),臺北市中正區忠孝西路一段31~60號,2.53,商,,,1090326,土地1建物1車位0,十八層,二十七層,套房(1房1廳1衛),住家用,鋼骨混凝土造,0790815,45.83,0,1,1,有,有,10320000,225180,,0.0,0,,RPQPMLNLMHPFFBA97CA
中正區,房地(土地+建物),臺北市中正區重慶南路一段31~60號,3.9,商,,,1090317,土地1建物1車位0,四層,十四層,辦公商業大樓,見使用執照,鋼筋混凝土造,0910723,48.95,1,0,1,有,有,10300000,210419,,0.0,0,,RPRQMLNLMHPFFBA18CA
中正區,房地(土地+建物),臺北市中正區杭州南路一段71巷1~30號,34.71,住,,,1090120,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651015,305.52,5,3,3,有,無,65000000,212752,,0.0,0,,RPPNMLPLMHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,3.42,商,,,1090310,土地3建物1車位0,七層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0671218,31.58,1,1,1,有,無,4400000,139329,,0.0,0,,RPSPMLRLMHPFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區西園路一段212巷1~30號,24.75,商,,,1090407,土地1建物1車位0,全,二層,透天厝,,磚造,,38.84,5,1,3,有,無,5300000,136457,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLSLMHPFFBA18CA
萬華區,土地,華江段二小段331~360地號,105.53,其他,,,1090410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2094785,19850,,0.0,0,包含公共設施保留地之交易。;包含公共設施保留地之交易。,RPOOMLPJNHPFFBA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區開封街二段61~90號,13.88,商,,,1090226,土地1建物1車位1,一層，騎樓,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841201,197.38,0,0,0,無,有,31800000,161111,坡道機械,0.0,0,,RPROMLMKNHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區長沙街二段121~150號,12.98,商,,,1090313,土地2建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,144.66,3,2,2,有,有,29000000,200470,,0.0,0,,RPVOMLOKNHPFFBA48CA
中山區,房地(土地+建物),臺北市中山區新生北路三段1~30號,6.86,商,,,1090408,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700703,61.71,1,1,1,有,有,2800000,45374,,0.0,0,,RPTQMLLLMHPFFCA28CA
