鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區光華路110巷1~30號,25.23,住,,,1090301,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810731,128.43,4,2,3,有,有,14000000,109009,坡道平面,0.0,0,含增建或未登記建物。;,RPRRMLQJNHPFFGF86CA
蘆洲區,土地,九芎段91~120地號,62.8,其他,,,1090324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5630684,89661,,0.0,0,包含公共設施保留地之交易。;,RPXOMLSJNHPFFGF37CA
三重區,房地(土地+建物),新北市三重區成功路151~180號,2.99,商,,,1090318,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830430,32.72,1,1,1,有,有,4450000,136002,,0.0,0,,RPSRMLMKNHPFFGF66CA
三重區,房地(土地+建物),新北市三重區五福街1~30號,26.0,住,,,1090220,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,86.0,2,1,1,有,無,7300000,84884,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPXNMLNKNHPFFGF86CA
蘆洲區,房地(土地+建物),新北市蘆洲區和平路121巷8弄31~60號,30.32,住,,,1090330,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681208,73.0,2,1,2,有,無,6620000,90685,,0.0,0,頂樓有加蓋、含裝潢,RPPNMLTKNHPFFGF66CA
中和區,房地(土地+建物),新北市中和區新生街151~180號,19.47,住,,,1090308,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690129,77.42,3,2,1,有,無,6300000,81374,,0.0,0,含增建或未登記建物。;,RPTNMLMLMHPFFHF09CA
中和區,房地(土地+建物),新北市中和區民利街61~90號,21.15,住,,,1090203,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1010522,120.46000000000001,3,2,2,有,有,12750000,105844,,0.0,0,,RPWNMLMLMHPFFHF76CA
中和區,房地(土地+建物),新北市中和區景平路391~420號,13.67,住,,,1090310,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960529,70.72,2,1,1,有,無,9230000,130515,,0.0,0,含增建或未登記建物。;,RPUQMLMLMHPFFHF86CA
永和區,房地(土地+建物),新北市永和區文化路90巷32弄31~60號,29.2,住,,,1090322,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710930,113.31,3,2,2,有,無,12500000,110317,,0.0,0,含增建或未登記建物。;,RPVQMLMLMHPFFHF96CA
永和區,房地(土地+建物)+車位,新北市永和區保生路22巷19弄31~60號,10.9,住,,,1090303,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850322,154.59,3,2,2,有,有,19000000,148810,坡道平面,40.35,2000000,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPOPMLNLMHPFFHF88CA
中和區,土地,台貿段601~630地號,26.75,住,,,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3522172,131670,,0.0,0,畸零地或有合併使用之交易。;,RPPPMLNLMHPFFHF98CA
永和區,房地(土地+建物),新北市永和區民族街27巷1~30號,29.87,住,,,1090307,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690807,115.29,3,2,2,有,無,12800000,111024,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTPMLNLMHPFFHF76CA
中和區,房地(土地+建物),新北市中和區中和路121~150號,4.59,商,,,1090320,土地1建物1車位0,十九層,二十三層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080522,49.79,1,1,1,有,有,8000000,160675,,0.0,0,,RPWNMLNLMHPFFHF86CA
永和區,房地(土地+建物)+車位,新北市永和區中山路一段128巷1~30號,11.68,住,,,1090103,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891108,139.63,3,2,2,有,有,18000000,128912,坡道機械,0.0,0,含增建或未登記建物。;,RPUOMLNLMHPFFHF76CA
