鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大雅區,房地(土地+建物),臺中市大雅區民族街147北三巷31~60號,69.0,農,,,1090412,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0980716,162.02,4,3,3,有,無,10700000,66041,,0.0,0,,RPQNMLLJNHPFFHB18CA
大雅區,土地,自立段271~300地號,870.0,農,,,1090303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19190000,22057,,0.0,0,,RPRNMLPJNHPFFHB68CA
大雅區,房地(土地+建物),臺中市大雅區中山北路197巷61~90號,82.69,住,,,1090316,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0821028,231.94,4,3,3,有,有,9880000,42597,,0.0,0,,RPSNMLSJNHPFFHB09CA
烏日區,土地,中華段811~840地號,324.94,住,,,1090207,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20200000,62165,,0.0,0,,RPTNMLRLMHPFFIB66CA
大里區,房地(土地+建物)+車位,臺中市大里區東明路121~150號,11.98,住,,,1090307,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030514,115.37,2,2,1,有,無,6300000,64128,坡道平面,20.56,220000,親友、員工或其他特殊關係間之交易。;,RPQNMLOLMHPFFIB68CA
霧峰區,土地,霧峰段北溝小段1~30地號,3000.0,,山坡地保育區,農牧用地,1090319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1720000,573,,0.0,0,,RPQOMLOLMHPFFIB78CA
大里區,房地(土地+建物),臺中市大里區東明路147巷61~90號,21.74,住,,,1090329,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0791015,118.49000000000001,2,2,2,有,有,6000000,50637,,0.0,0,,RPQNMLPLMHPFFIB78CA
大里區,房地(土地+建物),臺中市大里區好來五街1~30號,68.68,,鄉村區,乙種建築用地,1090405,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660628,81.69,4,2,2,有,無,5500000,67328,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLPLMHPFFIB98CA
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段日新巷22弄1~30號,41.83,住,,,1090319,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051219,201.10000000000002,3,2,2,有,有,13180000,65540,坡道平面,37.88,0,,RPQOMLSLMHPFFIB56CA
烏日區,房地(土地+建物)+車位,臺中市烏日區中山路一段1~30號,11.86,住,,,1090410,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830708,126.19,3,2,2,有,有,4900000,38830,坡道機械,0.0,0,,RPRPMLSLMHPFFIB76CA
大里區,房地(土地+建物),臺中市大里區公教街60巷61~90號,83.67,,鄉村區,乙種建築用地,1090329,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810730,178.6,4,2,4,有,無,8800000,49272,,0.0,0,,RPWNMLKMMHPFFIB98CA
大里區,房地(土地+建物),臺中市大里區仁美路49巷1~30號,100.2,,鄉村區,乙種建築用地,1090324,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0900525,189.45,4,3,3,有,有,11880000,62708,,0.0,0,含增建或未登記建物。;,RPSNMLMJNHPFFIB58CA
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段151~180號,13.54,住,,,1090316,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830917,117.48,3,2,2,有,有,5100000,43412,坡道機械,0.0,0,,RPVNMLRJNHPFFIB76CA
大里區,房地(土地+建物),臺中市大里區塗城路121~150號,139.99,,鄉村區,乙種建築用地,1090229,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0670120,114.24,5,3,2,有,無,8200000,71779,,0.0,0,含增建或未登記建物。;,RPXPMLPJNHPFFIB96CA
大里區,房地(土地+建物),臺中市大里區文隆街1~30號,15.66,住,,,1090314,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810906,95.05,3,2,2,有,有,4500000,47344,,0.0,0,,RPUOMLSJNHPFFIB86CA
