鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
湖內區,房地(土地+建物),高雄市湖內區正義一路131巷31~60號,64.43,,一般農業區,甲種建築用地,1090310,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840228,156.3,4,2,2,有,無,3500000,22393,,0.0,0,,RPPNMLQJNHPFFJE09CA
湖內區,土地,正義段61~90地號,8480.33,農,,,1090228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58000000,6839,,0.0,0,,RPWNMLOKNHPFFJE07CA
湖內區,土地,明宗段481~510地號,52.35,住,,,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,21012,,0.0,0,本買賣案件係屬親友間特殊交易，其交易價格可能異於市場正常交易價格。,RPROMLTKNHPFFJE17CA
仁武區,房地(土地+建物)+車位,高雄市仁武區永新四街61~90號,23.92,住,,,1090308,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071227,129.26999999999998,2,2,2,有,有,7100000,54924,坡道平面,28.71,0,,RPPNMLQKNHPFFIE09CA
仁武區,房地(土地+建物),高雄市仁武區仁心路301~330號,362.18,,特定農業區,甲種建築用地,1090420,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0631115,215.73,0,0,0,無,無,23143000,107278,,0.0,0,含增建或未登記建物。;,RPWNMLSKNHPFFIE37CA
鳥松區,房地(土地+建物),高雄市鳥松區仁愛路66巷1~30號,121.99,住,,,1090414,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1020411,185.0,4,2,3,有,無,12000000,64865,,0.0,0,含增建或未登記建物。;,RPSNMLRJNHPFFIE76CA
仁武區,房地(土地+建物),高雄市仁武區八德一路271~300號,120.58,住,,,1090315,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050315,248.32,5,2,5,有,無,17000000,68460,,0.0,0,,RPPOMLSJNHPFFIE66CA
鳳山區,房地(土地+建物),高雄市鳳山區中崙二路578巷1~30號,39.06,住,,,1090320,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850124,124.42999999999999,3,2,2,有,有,5500000,44202,,0.0,0,二人共有，附贈燈飾、熱水器、瓦斯爐、衣櫥、抽油煙機、吊廚等家具,RPOOMLTKNHPFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區光復路二段241~270號,38.16,住,,,1090224,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770328,132.18,3,2,2,有,無,5500000,41610,,0.0,0,有裝修,RPPOMLPLNHPFFGE98CA
大樹區,土地,佛光段931~960地號,6138.73,,山坡地保育區,農牧用地,1090317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3820000,622,,0.0,0,,RPQPMLSLNHPFFGE86CA
杉林區,土地,份尾段811~840地號,2874.46,,一般農業區,農牧用地,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,696,,0.0,0,,RPQNMLOJNHPFFHE78CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,10.8,商,,,1081104,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,94.64,2,1,1,有,有,6380000,68064,坡道機械,13.54,860000,,RPTOMLOKNHPFFGE56CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,13.61,商,,,1081102,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,119.42,3,2,2,有,有,8320000,67624,坡道機械,13.54,1160000,,RPVOMLOKNHPFFGE76CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,15.66,商,,,1081027,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,137.34,3,2,2,有,有,8910000,66686,坡道平面,31.47,1850000,,RPWOMLOKNHPFFGE86CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,15.66,商,,,1081113,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,137.34,3,2,2,有,有,8690000,66969,坡道平面,31.47,1600000,,RPOPMLOKNHPFFGE78CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,14.04,商,,,1081103,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,123.25999999999999,3,2,2,有,有,8100000,64892,坡道機械,13.54,980000,,RPRPMLOKNHPFFGE09CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,10.15,商,,,1081127,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,88.99000000000001,2,1,1,有,有,5930000,67197,坡道機械,13.54,860000,,RPSPMLOKNHPFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區南京路288巷1~30號,19.05,住,,,1090411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710412,49.42,3,1,1,有,有,1820000,36827,,0.0,0,含增建或未登記建物。;,RPTNMLLKNHPFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區建國路一段299巷1~30號,31.55,住,,,1090423,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760105,94.51,3,2,2,有,無,2700000,28568,,0.0,0,,RPUNMLMKNHPFFGE98CA
鳳山區,房地(土地+建物),高雄市鳳山區鳳林路151~180號,167.65,住,,,1090416,土地1建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),住家用,見其他登記事項,1090309,397.84,5,1,7,有,無,36000000,90489,,0.0,0,,RPQOMLNKNHPFFGE78CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區建國路三段61~90號,8.06,住,,,1090322,土地1建物1車位1,二十六層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0961215,99.84,2,2,1,有,有,5250000,52584,坡道機械,7.1,0,含增建或未登記建物。,RPVOMLQJNHPFFGE86CA
鳳山區,房地(土地+建物),高雄市鳳山區建國路三段70巷2弄1~30號,34.12,住,,,1090312,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680601,69.87,3,2,2,有,無,1500000,21468,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLRJNHPFFGE86CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳仁路110巷301~330號,27.17,住,,,1090101,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090304,152.81,3,2,2,有,有,8280000,54185,坡道平面,0.0,0,,RPQPMLSJNHPFFGE66CA
