鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,13.6,住,,,1060305,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,158.13,3,2,2,有,有,9300000,62287.0,升降機械,14.44,350000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUQMLLLNHPFFIB56CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,17.43,住,,,1080622,土地1建物1車位2,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,200.08,3,2,2,有,有,11400000,61247.0,坡道平面,56.4,2600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVQMLLLNHPFFIB66CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,14.86,住,,,1071117,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,171.89,3,2,2,有,有,9970000,61730.0,坡道平面,28.2,1100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWQMLLLNHPFFIB76CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,14.86,住,,,1060323,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,171.89,3,2,2,有,有,10200000,63331.0,坡道平面,28.2,1100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXQMLLLNHPFFIB86CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,12.87,住,,,1070910,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,148.10000000000005,3,2,2,有,有,8680000,60452.0,升降平面,14.44,600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPORMLLLNHPFFIB68CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,13.31,住,,,1080921,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,153.91000000000003,3,2,2,有,無,9050000,60587.0,升降平面,14.44,600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQNMLMLNHPFFIB58CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,14.57,住,,,1060923,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,167.66000000000003,3,2,2,有,有,9550000,60591.0,坡道平面,28.2,1100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUNMLMLNHPFFIB98CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,12.71,住,,,1060206,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,146.63,3,2,2,有,有,8100000,58628.0,升降機械,14.44,350000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVNMLMLNHPFFIB09CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,12.71,住,,,1060823,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,146.63,3,2,2,有,有,8600000,62410.0,升降機械,14.44,350000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWNMLMLNHPFFIB56CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區大里路301~330號,12.71,住,,,1060915,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090302.0,146.63,3,2,2,有,有,8660000,60973.0,升降平面,14.44,600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXNMLMLNHPFFIB66CA,臺中市
